spp,sv,masa,log.sv,log.masa,l_papus,area_p,pl_m,tipo_papus,Latitud,Longitud,altitud,Ecoregion,habito,muestreo,Tribu,cod_gps,bio1,bio4,bio12,bio15,cover,wind.speed,air.density
Chromolaena_ivifolia,0.308009273800627,0.166666666666667,-1.18442371337416,-1.82477934859846,3.38244444444444,36.045400508574,0.00465802632422299,setose,-25.126074,-65.586443,1479.384842,Southern_Andean_Yungas,arbusto,norte_2022,Eupatorieae,Chicoana,16.341667175293,377.743499755859,456,110.535232543945,66,1.6751743555069,1.0199453830719
Chuquiraga_atacamensis,2.08878931550176,2.36666666666667,0.726489169457325,0.774194607480951,4.48422222222222,63.6171541948869,0.0370812817667506,setose,-24.365466,-66.091174,3722.081,Central_Andean_puna,arbusto,norte_2022,Barnadesieae,Las Cuevas,8.73333358764648,335.852600097656,149,117.696983337402,0,5.30171489715576,0.80963259935379
Chuquiraga_aurea,1.5758431086613,4.49555555555556,0.429673491777246,1.49243415056327,8.018,227.361086465812,0.0994965510655287,setose,-48.956429,-67.647875,122,Patagonian_steppe,cojin,Sur_2021,Barnadesieae,San julian,10.1041669845581,483.493255615234,229,24.0637874603271,0,6.4248194694519,1.21734857559204
Chuquiraga_erinaceae,2.02662301202929,3.49555555555556,0.671359368133801,1.17241823225603,6.84555555555556,147.544240637651,0.0243562470473559,setose,-24.70857,-66.188002,3075.899,Monte,arbusto,norte_2022,Barnadesieae,La Poma,11.4708337783813,345.098510742188,159,121.47834777832,0,3.57135391235352,0.8634312748909
Chuquiraga_oppositifolia,1.02182057293689,3.91,0.0162923362645323,1.35200798503295,10.1641666666667,326.811947566304,0.0124833810306437,setose,-25.178178,-65.816128,2658.987,Central_Andean_puna,arbusto,norte_2022,Barnadesieae,Pie de Cuesta,12.4499998092651,340.367462158203,224,115.51000213623,1,2.08322334289551,0.905916452407837
Cnicothamnus_lorentzii,1.11365834477739,7.02333333333333,0.0849811655352645,1.9469577742769,20.8601666666667,1367.22475295259,0.00514326255606741,setose,-25.116442,-65.602071,1452.464,Southern_Andean_Yungas,arbusto,norte_2022,Gochnatieae,Quebrada Escoipe,16.595832824707,380.206024169922,483,109.855293273926,50,1.52029085159302,1.02576911449432
Cyclolepis_genistoides,0.592068420263657,1.20777777777778,-0.543567127544526,0.157055704291136,9.30388888888889,272.189456056517,0.00446371413583089,setose,-38.140013,-66.197174,257,Monte,arbusto,Sur_2021,Gochnatieae,cyclolepis,15.3000001907349,632.297424316406,332,44.0830001831055,6,4.49835681915283,1.17569923400879
Dimerostemma_aspilioides,2.20466504506337,2.51,0.778844268720428,0.908079749484026,1.089,3.81588420400283,0.74673341045361,aristate,-25.275374,-65.333683,990.536,Dry_Chaco,hierba,norte_2022,Heliantheae,Dique Cabra Corral,18.0208339691162,406.730102539062,528,108.308074951172,7,2.33670210838318,1.06030178070068
Fleischmannia_prasiifolia,0.432696045076132,0.08,-0.878646293143131,-2.55799790487704,2.909,26.6671217842692,0.00298510356123283,setose,-31.1517,-64.2836,730,Dry_Chaco,Subarbusto,Cordoba_2022,Eupatorieae,salsipuedes,14.9166669845581,440.590148925781,747,67.8691940307617,76,2.94605708122253,1.10960817337036
Fleischmannia_schickendantzii,0.411678159447775,0.328888888888889,-0.913685673058445,-1.14512287811849,4.78933333333333,72.966184167988,0.00459538666877161,setose,-25.116442,-65.602071,1452.464,Southern_Andean_Yungas,hierba,norte_2022,Eupatorieae,Quebrada Escoipe,16.595832824707,380.206024169922,483,109.855293273926,50,1.52029085159302,1.02576911449432
Flourensia_oolepis,2.38784013158891,5.18888888888889,0.860116622701283,1.61240750150762,3.47522222222222,38.4804674748615,0.145959860030792,aristate,-25.275374,-65.333683,990.536,Dry_Chaco,arbusto,norte_2022,Heliantheae,Dique Cabra Corral,18.0208339691162,406.730102539062,528,108.308074951172,7,2.33670210838318,1.06030178070068
Flourensia_riparia,2.44088007835173,5.46777777777778,0.857642553421806,1.62061808206767,4.09255555555556,52.9160159049365,0.110749688731396,aristate,-25.185098,-65.780477,2192.787,Central_Andean_puna,arbusto,norte_2022,Heliantheae,Maray,14.1583337783813,355.565063476562,258,115.966636657715,0,2.44810342788696,0.929461598396301
Gochnatia_glutinosa,1.10319712953159,3.17222222222222,0.0664621400740079,1.08203067219402,7.57622222222222,180.955896718932,0.0173551196107409,setose,-24.70857,-66.188002,3075.899,Monte,arbusto,norte_2022,Gochnatieae,La Poma,11.4708337783813,345.098510742188,159,121.47834777832,0,3.57135391235352,0.8634312748909
Grindelia_chiloensis,2.20900216763002,3.73444444444444,0.784910751541404,1.26437127652794,0,0,37344444.4444444,epappose,-38.140013,-66.197174,257,Monte,hierba,Sur_2021,Astereae,cyclolepis,15.3000001907349,632.297424316406,332,44.0830001831055,6,4.49835681915283,1.17569923400879
Grindelia_pulchella,1.98883606825662,2.98666666666667,0.666291803981658,1.0270880162876,2.05888888888889,15.1602293813224,3055555.71019321,aristate,-24.70857,-66.188002,3075.899,Monte,hierba,norte_2022,Astereae,La Poma,11.4708337783813,345.098510742188,159,121.47834777832,0,3.57135391235352,0.8634312748909
Gutierrezia_gilliesii,1.8029937557685,0.948888888888889,0.58050736496839,-0.0866475403934862,1.73911111111111,10.1559431592538,0.115562084382909,paleaceous,-38.140013,-66.197174,257,Monte,hierba,Sur_2021,Astereae,cyclolepis,15.3000001907349,632.297424316406,332,44.0830001831055,6,4.49835681915283,1.17569923400879
Heliantheae_monte,2.31839136636989,8.81333333333333,0.834453811735238,2.14327877468996,4.27733333333333,58.7849260211384,0.167991700919353,aristate,-25.154938,-65.991319,2935.081,Monte,arbusto,norte_2022,Heliantheae,Recta del Tin-Tin,11.9250001907349,358.605255126953,168,121.771438598633,0,2.50248765945435,0.877762138843536
Hyalis_argentea,0.811267143929115,5.77777777777778,-0.216300679525513,1.74752168527713,12.7271111111111,509.386909961423,0.0114246969759285,setose,-38.339651,-64.071738,73,Monte,arbusto,Sur_2021,Hyalideae,Hyalis,15.6541662216187,606.729187011719,428,40.7074928283691,3,4.54390525817871,1.20067071914673
Hypochaeris_elata,0.502390943692976,0.843333333333333,-0.69904289408773,-0.296688113637718,3.4445,37.3257644485261,0.0220759577619607,setose,-25.166542,-65.849998,2953.698,Central_Andean_puna,hierba,norte_2022,Cichorieae,Mirador de la virgen,11.3583335876465,334.47265625,201,118.178695678711,0,2.24771595001221,0.875411152839661
Hypochaeris_hookeri,0.620778853320406,3.08333333333333,-0.481773519752697,1.1253952268895,13.5353333333333,577.061079908175,0.00538732613356974,setose,-47.124621,-70.887237,704,Patagonian_steppe,hierba,Sur_2021,Cichorieae,Eker,8.16250038146973,485.087280273438,143,28.2936344146729,3,5.40059328079224,1.1527978181839
Hysterionica_jasionoides,0.535260688792789,0.151111111111111,-0.637021809944395,-1.92006974280057,3.14144444444444,31.0799405319794,0.00489175607108977,setose,-25.197444,-65.842164,3089,Central_Andean_puna,hierba,norte_2022,Astereae,Valle Encantado,10.9333333969116,331.129821777344,198,116.86695098877,8,1.87945139408112,0.864861190319061
Kauna_saltensis,0.460536082103834,0.152222222222222,-0.792825199221091,-1.91403384870987,3.72155555555556,43.5788321796004,0.00349629136382019,setose,-24.888016,-65.701031,1633.446,Southern_Andean_Yungas,arbusto,norte_2022,Eupatorieae,Campo Quijano,15.3541669845581,356.845123291016,435,109.33625793457,22,0.931084096431732,0.999824166297913
Lorentzianthus_viscidus,0.512521384783595,0.115,-0.681080270362856,-2.27357718960376,2.97266666666667,27.9037139137788,0.00418781498211044,setose,-23.919,-65.468,2080,Monte,arbusto,norte_2020,Eupatorieae,Laguna de Volcan,14.7833337783813,347.179107666016,458,107.84481048584,0,2.72020387649536,0.953354477882385
Mutisia_acuminata,0.359877455414237,3.77125,-1.03020082584258,1.31651479083294,17.767125,993.93494942323,0.00380460116065057,setose,-23.919,-65.468,2080,Monte,arbusto,norte_2020,Mutisieae,Laguna de Volcan,14.7833337783813,347.179107666016,458,107.84481048584,0,2.72020387649536,0.953354477882385
Mutisia_hamata,0.805400681302244,2.66666666666667,-0.221432732414721,0.8754687373539,12.5696666666667,496.811842371401,0.00525596164022351,setose,-24.365466,-66.091174,3722.081,Central_Andean_puna,subarbusto,norte_2022,Mutisieae,Las Cuevas,8.73333358764648,335.852600097656,149,117.696983337402,0,5.30171489715576,0.80963259935379
Mutisia_kuntzii,1.01696407706424,17.0833333333333,0.00537283958429723,2.76097765441837,13.004,534.369629668957,0.0316503833649725,setose,-25.166542,-65.849998,2953.698,Central_Andean_puna,arbusto,norte_2022,Mutisieae,Mirador de la virgen,11.3583335876465,334.47265625,201,118.178695678711,0,2.24771595001221,0.875411152839661
Mutisia_ledifolia,0.925678702338757,3.4,-0.0803962112049618,1.21648164470187,12.599,499.389860530073,0.00687939726711308,setose,-25.178178,-65.816128,2658.987,Central_Andean_puna,hierba,norte_2022,Mutisieae,Pie de Cuesta,12.4499998092651,340.367462158203,224,115.51000213623,1,2.08322334289551,0.905916452407837
